# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
22900 16.8938 -22.4612
23000 21.8083 -19.6351
23100 19.795 -21.1438
23200 25.1068 -18.0607
23300 18.9044 -24.0152
23400 21.0534 -18.9708
23500 19.6484 -22.6215
23600 22.3493 -20.7036
23700 19.4011 -21.3696
23800 20.413 -19.2134
23900 23.4681 -20.9028
24000 22.92 -22.6249
24100 19.9224 -21.31
24200 18.3703 -23.0857
24300 24.4594 -19.5147
24400 21.1072 -23.8891
24500 23.8711 -19.3221
24600 17.749 -22.453
24700 24.105 -19.31
24800 21.1246 -25.8356
24900 22.0795 -20.2194
25000 20.1114 -22.8449
25100 24.8108 -19.9807
25200 22.2458 -23.2349
25300 23.1067 -23.3907
25400 21.4191 -22.0482
25500 19.7495 -21.7435
25600 23.8289 -20.8501
25700 21.5953 -25.2404
25800 24.725 -20.4001
25900 19.871 -22.4719
26000 24.4532 -21.7546
26100 23.7863 -27.4098
26200 22.4474 -20.5907
26300 19.8629 -22.063
26400 24.9105 -21.8412
26500 22.5 -24.184
26600 23.6123 -22.4295
26700 22.8416 -22.4807
26800 22.7381 -24.7874
26900 24.3397 -23.3663
27000 23.7408 -24.2538
27100 23.5375 -21.0408
27200 21.2648 -24.5494
27300 26.4095 -23.5196
27400 22.2109 -24.1375
27500 23.0549 -21.4281
27600 24.4467 -27.6591
27700 24.4762 -22.363
27800 22.8799 -22.0073
27900 24.8157 -24.8186
28000 23.3468 -25.1449
28100 23.697 -24.9897
28200 26.1249 -21.8232
28300 22.0266 -25.9061
28400 24.943 -22.8114
28500 24.229 -26.0787
28600 27.4838 -23.0751
28700 20.8702 -23.6695
28800 24.1129 -24.997
28900 26.4262 -27.4126
29000 25.1201 -22.3835
29100 24.2262 -24.0208
29200 23.4592 -25.7028
29300 25.2664 -24.2069
29400 26.0083 -26.064
29500 25.8565 -23.7708
29600 21.8602 -26.9793
29700 26.5511 -23.8424
29800 27.0602 -27.1953
29900 26.4578 -23.5372
30000 19.7436 -23.7845
30100 27.0413 -26.4528
30200 28.3319 -27.3277
30300 24.3812 -22.5013
