# Time-averaged data for fix at1
# TimeStep v_pos
41100 31.2806
41200 31.2836
41300 31.2866
41400 31.2896
41500 31.2926
41600 31.2956
41700 31.2986
41800 31.3016
41900 31.3046
42000 31.3076
42100 31.3106
42200 31.3136
42300 31.3166
42400 31.3196
42500 31.3226
42600 31.3256
42700 31.3286
42800 31.3316
42900 31.3346
43000 31.3376
43100 31.3406
43200 31.3436
43300 31.3466
43400 31.3496
43500 31.3526
43600 31.3556
43700 31.3586
43800 31.3616
43900 31.3646
44000 31.3676
44100 31.3706
44200 31.3736
44300 31.3766
44400 31.3796
44500 31.3826
44600 31.3856
44700 31.3886
44800 31.3916
44900 31.3946
45000 31.3976
45100 31.4006
45200 31.4036
45300 31.4066
45400 31.4096
45500 31.4126
45600 31.4156
45700 31.4186
45800 31.4216
45900 31.4246
46000 31.4276
46100 31.4306
46200 31.4336
46300 31.4366
46400 31.4396
46500 31.4426
46600 31.4456
46700 31.4486
46800 31.4516
46900 31.4546
47000 31.4576
47100 31.4606
47200 31.4636
47300 31.4666
47400 31.4696
47500 31.4726
47600 31.4756
47700 31.4786
47800 31.4816
47900 31.4846
48000 31.4876
48100 31.4906
48200 31.4936
48300 31.4966
48400 31.4996
48500 31.5026
48600 31.5056
48700 31.5086
48800 31.5116
48900 31.5146
49000 31.5176
49100 31.5206
49200 31.5236
49300 31.5266
49400 31.5296
49500 31.5326
49600 31.5356
49700 31.5386
49800 31.5416
49900 31.5446
50000 31.5476
50100 31.5506
50200 31.5536
50300 31.5566
50400 31.5596
50500 31.5626
50600 31.5656
50700 31.5686
50800 31.5716
50900 31.5746
51000 31.5776
51100 31.5806
51200 31.5836
51300 31.5866
51400 31.5896
51500 31.5926
51600 31.5956
51700 31.5986
51800 31.6016
51900 31.6046
52000 31.6076
52100 31.6106
52200 31.6136
52300 31.6166
52400 31.6196
52500 31.6226
52600 31.6256
52700 31.6286
52800 31.6316
52900 31.6346
53000 31.6376
53100 31.6406
53200 31.6436
53300 31.6466
53400 31.6496
53500 31.6526
53600 31.6556
53700 31.6586
53800 31.6616
53900 31.6646
54000 31.6676
54100 31.6706
54200 31.6736
54300 31.6766
54400 31.6796
54500 31.6826
54600 31.6856
54700 31.6886
54800 31.6916
54900 31.6946
55000 31.6976
55100 31.7006
55200 31.7036
55300 31.7066
55400 31.7096
55500 31.7126
55600 31.7156
55700 31.7186
55800 31.7216
55900 31.7246
56000 31.7276
56100 31.7306
56200 31.7336
56300 31.7366
56400 31.7396
56500 31.7426
56600 31.7456
56700 31.7486
56800 31.7516
56900 31.7546
57000 31.7576
57100 31.7606
57200 31.7636
57300 31.7666
57400 31.7696
57500 31.7726
57600 31.7756
57700 31.7786
57800 31.7816
57900 31.7846
58000 31.7876
58100 31.7906
58200 31.7936
58300 31.7966
58400 31.7996
58500 31.8026
58600 31.8056
58700 31.8086
58800 31.8116
58900 31.8146
59000 31.8176
59100 31.8206
59200 31.8236
59300 31.8266
59400 31.8296
59500 31.8326
59600 31.8356
59700 31.8386
59800 31.8416
59900 31.8446
60000 31.8476
60100 31.8506
60200 31.8536
60300 31.8566
60400 31.8596
60500 31.8626
60600 31.8656
60700 31.8686
60800 31.8716
60900 31.8746
61000 31.8776
61100 31.8806
61200 31.8836
61300 31.8866
61400 31.8896
61500 31.8926
61600 31.8956
61700 31.8986
61800 31.9016
61900 31.9046
62000 31.9076
62100 31.9106
62200 31.9136
62300 31.9166
62400 31.9196
62500 31.9226
62600 31.9256
62700 31.9286
62800 31.9316
62900 31.9346
63000 31.9376
63100 31.9406
63200 31.9436
63300 31.9466
63400 31.9496
63500 31.9526
63600 31.9556
63700 31.9586
63800 31.9616
63900 31.9646
64000 31.9676
64100 31.9706
64200 31.9736
64300 31.9766
64400 31.9796
64500 31.9826
64600 31.9856
64700 31.9886
64800 31.9916
64900 31.9946
65000 31.9976
65100 32.0006
65200 32.0036
65300 32.0066
65400 32.0096
65500 32.0126
65600 32.0156
65700 32.0186
65800 32.0216
65900 32.0246
66000 32.0276
66100 32.0306
66200 32.0336
66300 32.0366
66400 32.0396
66500 32.0426
66600 32.0456
66700 32.0486
66800 32.0516
66900 32.0546
67000 32.0576
67100 32.0606
67200 32.0636
67300 32.0666
67400 32.0696
67500 32.0726
67600 32.0756
67700 32.0786
67800 32.0816
67900 32.0846
68000 32.0876
68100 32.0906
68200 32.0936
68300 32.0966
68400 32.0996
68500 32.1026
68600 32.1056
68700 32.1086
68800 32.1116
68900 32.1146
69000 32.1176
69100 32.1206
69200 32.1236
69300 32.1266
69400 32.1296
69500 32.1326
69600 32.1356
69700 32.1386
69800 32.1416
69900 32.1446
70000 32.1476
70100 32.1506
70200 32.1536
70300 32.1566
70400 32.1596
70500 32.1626
70600 32.1656
70700 32.1686
70800 32.1716
70900 32.1746
71000 32.1776
71100 32.1806
71200 32.1836
71300 32.1866
71400 32.1896
71500 32.1926
71600 32.1956
71700 32.1986
71800 32.2016
71900 32.2046
72000 32.2076
72100 32.2106
72200 32.2136
72300 32.2166
72400 32.2196
72500 32.2226
72600 32.2256
72700 32.2286
72800 32.2316
72900 32.2346
73000 32.2376
73100 32.2406
73200 32.2436
73300 32.2466
73400 32.2496
73500 32.2526
73600 32.2556
73700 32.2586
73800 32.2616
73900 32.2646
74000 32.2676
74100 32.2706
74200 32.2736
74300 32.2766
74400 32.2796
74500 32.2826
74600 32.2856
74700 32.2886
74800 32.2916
74900 32.2946
75000 32.2976
75100 32.3006
75200 32.3036
75300 32.3066
75400 32.3096
75500 32.3126
75600 32.3156
75700 32.3186
75800 32.3216
75900 32.3246
76000 32.3276
76100 32.3306
76200 32.3336
76300 32.3366
76400 32.3396
76500 32.3426
76600 32.3456
76700 32.3486
76800 32.3516
76900 32.3546
77000 32.3576
77100 32.3606
77200 32.3636
